name,age
Amit,18.5
Amit,23.5
Anita,17.5
Anita,19.8
Anita,23.0
Arjun,19.5
Geet,17.5
Kavita,17.5
Kavita,17.8
Kiran,18.3
Kiran,18.5
Kiran,20.0
Kiran,20.0
Meera,17.8
Meera,18.5
Meera,19.0
Meera,20.5
Meera,22.0
Mohan,18.3
Mohan,18.3
Mohan,18.3
Mohan,19.0
Mohan,20.5
Neha,17.5
Neha,23.0
Neha,23.5
Priya,18.3
Priya,20.5
Priya,22.5
Rahul,21.0
Rahul,23.0
Ravi,19.5
Ravi,23.0
Reeta,17.8
Reeta,18.0
Reeta,20.0
Reeta,20.0
Reeta,20.5
Reeta,23.0
Sneha,19.0
Sneha,21.0
Sneha,23.0
Sneha,23.5
Suresh,18.0
Suresh,19.5
Suresh,21.0
Vikram,17.8
Vikram,19.8
Vikram,19.8
Vikram,23.0
