name,age
Kiran,17.5
Amit,17.5
Geet,17.5
Mohan,17.5
Priya,17.5
Arjun,17.8
Amit,17.8
Priya,17.8
Rahul,17.8
Kiran,17.8
Anita,17.8
Reeta,17.8
Anita,17.8
Sneha,18.0
Priya,18.0
Suresh,18.0
Arjun,18.0
Geet,18.3
Kiran,18.3
Mohan,18.3
Kiran,18.5
Geet,18.5
Neha,18.5
Kavita,19.0
Ravi,19.0
Priya,19.0
Sneha,19.0
Meera,19.0
Anita,19.5
Anita,19.5
Neha,19.5
Neha,19.5
Rahul,19.5
Kiran,19.5
Amit,19.5
Suresh,19.5
Kavita,19.5
Meera,19.8
Amit,19.8
Geet,19.8
Suresh,19.8
Mohan,20.0
Priya,20.0
Amit,20.0
Ravi,20.0
Kiran,20.0
Geet,20.0
Neha,20.0
Kavita,20.0
Neha,20.0
Neha,20.0
Suresh,20.0
Arjun,20.0
Meera,20.5
Kiran,20.5
Mohan,20.5
Meera,20.5
Vikram,21.0
Neha,21.0
Meera,21.0
Reeta,21.0
Arjun,21.0
Amit,21.5
Amit,21.5
Neha,22.0
Geet,22.0
Rahul,22.0
Geet,22.5
Neha,22.5
Arjun,22.5
Geet,22.5
Anita,22.5
Kiran,22.5
Vikram,22.5
Ravi,23.0
Reeta,23.0
Anita,23.0
Mohan,23.0
Amit,23.0
Suresh,23.5
Rahul,23.5
Sneha,23.5
Reeta,23.5
Mohan,23.5
Rahul,23.5
Rahul,23.5
Mohan,23.5
Geet,23.5
Mohan,23.5
Vikram,23.5
