name,age
Amit,17.5
Amit,22.5
Amit,19.8
Amit,18.5
Anita,18.0
Anita,17.5
Anita,22.5
Arjun,18.5
Arjun,22.5
Arjun,19.8
Arjun,17.5
Arjun,17.8
Arjun,18.0
Arjun,19.0
Arjun,20.5
Arjun,21.0
Geet,17.5
Geet,19.5
Geet,18.5
Kavita,20.0
Kavita,18.5
Kavita,22.0
Kavita,20.0
Kiran,19.0
Kiran,21.5
Kiran,23.0
Kiran,21.0
Kiran,21.5
Kiran,22.0
Kiran,23.0
Kiran,20.5
Meera,18.3
Meera,23.5
Meera,19.5
Meera,22.0
Meera,22.0
Meera,21.5
Mohan,21.0
Mohan,22.5
Mohan,19.5
Mohan,21.5
Mohan,17.8
Mohan,19.5
Neha,23.0
Neha,23.5
Neha,19.0
Neha,19.5
Neha,21.0
Neha,20.0
Priya,21.0
Priya,17.5
Priya,21.5
Rahul,22.5
Rahul,23.5
Rahul,20.5
Rahul,21.5
Rahul,20.5
Rahul,17.8
Rahul,21.5
Ravi,22.5
Ravi,23.0
Ravi,21.5
Ravi,23.5
Ravi,18.5
Ravi,23.0
Ravi,23.0
Reeta,17.5
Reeta,18.5
Reeta,19.0
Reeta,23.0
Reeta,23.5
Reeta,20.0
Reeta,22.5
Reeta,18.5
Sneha,19.0
Sneha,20.0
Sneha,18.3
Sneha,22.5
Sneha,17.8
Sneha,18.3
Suresh,19.0
Suresh,22.0
Suresh,23.5
Suresh,20.5
Suresh,19.8
Suresh,20.0
Suresh,18.3
Suresh,17.8
Suresh,18.3
Suresh,23.5
Vikram,22.0
Vikram,18.5
Vikram,21.0
Vikram,21.5
Vikram,19.0
Vikram,20.0
Vikram,20.5
Vikram,21.5
Vikram,18.0
Vikram,21.5
