name,age
Reeta,17.5
Suresh,17.5
Reeta,17.5
Reeta,17.5
Rahul,17.5
Vikram,17.5
Kavita,17.5
Amit,17.5
Rahul,17.8
Anita,17.8
Geet,17.8
Meera,17.8
Anita,17.8
Meera,17.8
Meera,18.0
Arjun,18.0
Mohan,18.0
Arjun,18.0
Arjun,18.0
Vikram,18.0
Reeta,18.3
Amit,18.3
Ravi,18.3
Amit,18.5
Rahul,18.5
Amit,18.5
Rahul,19.0
Reeta,19.0
Kiran,19.0
Neha,19.0
Kavita,19.0
Vikram,19.0
Meera,19.0
Arjun,19.5
Suresh,19.5
Ravi,19.5
Priya,19.5
Neha,19.5
Geet,19.8
Anita,19.8
Sneha,19.8
Sneha,19.8
Priya,20.0
Kavita,20.0
Vikram,20.0
Amit,20.0
Kavita,20.0
Vikram,20.5
Sneha,20.5
Sneha,20.5
Arjun,20.5
Kiran,20.5
Meera,20.5
Suresh,20.5
Suresh,21.0
Neha,21.0
Priya,21.0
Sneha,21.0
Geet,21.0
Reeta,21.0
Meera,21.5
Ravi,21.5
Priya,21.5
Mohan,21.5
Meera,21.5
Rahul,22.0
Neha,22.0
Arjun,22.0
Vikram,22.0
Geet,22.5
Geet,22.5
Ravi,22.5
Rahul,22.5
Mohan,22.5
Kavita,22.5
Amit,22.5
Suresh,22.5
Suresh,22.5
Geet,22.5
Reeta,23.0
Kiran,23.0
Kiran,23.0
Kiran,23.0
Mohan,23.0
Ravi,23.0
Geet,23.5
Reeta,23.5
Ravi,23.5
Arjun,23.5
Reeta,23.5
