name,age
Anita,19.5
Anita,23.0
Anita,20.0
Anita,22.0
Anita,18.3
Anita,21.5
Anita,19.0
Anita,18.0
Anita,18.5
Arjun,19.5
Geet,19.0
Geet,21.5
Geet,19.8
Geet,18.0
Geet,18.5
Kavita,21.0
Kavita,17.8
Kavita,19.5
Kiran,17.5
Meera,19.8
Meera,22.5
Meera,19.8
Meera,19.8
Meera,18.5
Meera,17.8
Mohan,23.0
Mohan,22.0
Mohan,19.5
Mohan,19.0
Mohan,17.8
Mohan,20.5
Neha,19.5
Neha,22.5
Priya,17.8
Priya,17.5
Priya,18.3
Priya,22.0
Rahul,19.5
Rahul,23.0
Rahul,18.5
Ravi,20.0
Ravi,23.5
Ravi,21.5
Ravi,19.8
Ravi,20.5
Ravi,21.5
Ravi,18.3
Ravi,18.5
Reeta,18.5
Reeta,23.5
Sneha,22.5
Sneha,18.5
Sneha,19.5
Sneha,23.0
Sneha,22.0
Sneha,20.0
Sneha,22.0
Suresh,19.0
Suresh,23.5
Suresh,18.0
