name,age
Anita,19.5
Anita,20.5
Anita,22.0
Anita,19.8
Arjun,19.5
Arjun,20.0
Arjun,17.8
Arjun,23.5
Arjun,23.5
Geet,20.0
Geet,22.0
Geet,22.0
Geet,18.3
Kavita,23.0
Kavita,21.0
Kavita,18.5
Kavita,21.0
Kavita,19.0
Kavita,23.5
Kavita,17.5
Kavita,19.8
Kiran,23.0
Kiran,21.5
Kiran,21.5
Kiran,23.0
Kiran,20.0
Kiran,17.8
Meera,23.0
Meera,23.5
Mohan,20.0
Neha,22.0
Neha,21.5
Neha,17.5
Neha,19.5
Priya,22.5
Rahul,19.0
Rahul,21.5
Rahul,19.8
Rahul,18.0
Rahul,23.0
Rahul,21.5
Rahul,19.5
Rahul,20.5
Rahul,19.5
Rahul,19.8
Rahul,20.5
Ravi,22.5
Ravi,18.3
Ravi,18.5
Reeta,21.5
Reeta,17.8
Reeta,23.0
Reeta,18.5
Reeta,18.5
Sneha,22.5
Sneha,21.0
Sneha,18.5
Suresh,23.5
Suresh,23.0
Suresh,19.0
Suresh,18.3
Suresh,17.8
Vikram,18.0
Vikram,17.5
Vikram,19.8
Vikram,23.5
Vikram,17.8
Vikram,20.5
Vikram,20.5
Vikram,21.5
