name,age
Amit,20.0
Amit,18.3
Amit,18.5
Amit,17.5
Amit,20.5
Amit,17.8
Amit,18.0
Amit,19.0
Amit,23.0
Anita,19.8
Anita,18.3
Anita,19.0
Anita,19.5
Anita,17.8
Arjun,19.8
Arjun,19.8
Arjun,18.5
Arjun,22.5
Geet,21.0
Geet,19.5
Geet,17.8
Geet,21.0
Kavita,17.5
Kavita,22.5
Kavita,17.5
Kavita,19.0
Kavita,21.0
Kavita,20.5
Kavita,18.0
Kiran,23.5
Kiran,18.0
Kiran,20.0
Kiran,20.5
Kiran,20.0
Kiran,19.0
Kiran,19.0
Kiran,22.0
Kiran,19.8
Kiran,19.0
Kiran,21.0
Kiran,22.0
Meera,21.5
Meera,18.0
Meera,21.5
Meera,18.5
Meera,20.0
Meera,23.0
Mohan,20.0
Mohan,18.5
Mohan,19.8
Mohan,19.5
Neha,22.0
Neha,19.5
Neha,18.3
Neha,20.0
Neha,19.0
Neha,18.3
Neha,23.5
Neha,23.5
Neha,22.0
Priya,18.5
Priya,19.8
Priya,23.5
Priya,18.0
Priya,18.0
Priya,22.5
Priya,22.0
Priya,22.5
Rahul,17.5
Rahul,21.0
Rahul,21.0
Ravi,23.5
Ravi,21.5
Ravi,17.5
Ravi,18.5
Ravi,23.0
Ravi,19.0
Reeta,23.5
Reeta,17.5
Reeta,23.0
Reeta,18.5
Reeta,21.5
Reeta,21.0
Sneha,23.5
Sneha,20.5
Sneha,20.0
Sneha,17.8
Sneha,18.3
Sneha,19.0
Sneha,18.0
Sneha,17.8
Suresh,20.0
Suresh,18.0
Suresh,21.0
Suresh,21.0
Suresh,18.3
Vikram,21.5
Vikram,22.5
Vikram,18.0
Vikram,19.0
