name,age
Amit,23.5
Amit,19.5
Amit,19.8
Amit,18.0
Amit,17.8
Amit,20.0
Anita,19.5
Anita,21.5
Anita,19.0
Arjun,19.5
Arjun,19.5
Arjun,17.8
Arjun,22.5
Kavita,17.8
Kavita,23.5
Kavita,21.5
Kiran,17.8
Kiran,20.5
Kiran,21.0
Kiran,21.0
Meera,19.8
Meera,17.8
Meera,18.3
Mohan,18.0
Neha,23.5
Neha,17.8
Neha,19.0
Neha,21.5
Priya,20.0
Priya,18.5
Priya,18.0
Priya,17.8
Priya,20.0
Rahul,21.0
Rahul,20.5
Rahul,20.5
Rahul,17.8
Rahul,19.8
Rahul,19.0
Ravi,18.3
Reeta,19.5
Reeta,18.0
Reeta,18.0
Sneha,19.5
Suresh,18.3
Suresh,19.8
Suresh,22.5
Suresh,17.5
Suresh,18.3
Vikram,22.0
