name,age
Amit,18.0
Amit,18.0
Amit,19.8
Anita,18.5
Anita,20.0
Anita,20.5
Anita,22.5
Anita,22.0
Anita,20.0
Anita,19.0
Anita,17.8
Anita,22.0
Arjun,18.5
Arjun,22.0
Arjun,19.5
Arjun,18.3
Arjun,19.5
Geet,22.0
Geet,18.5
Geet,17.8
Geet,22.0
Geet,17.8
Kavita,17.5
Kavita,17.5
Kavita,19.0
Kavita,20.5
Kavita,18.0
Kavita,19.8
Kavita,19.8
Kavita,18.5
Kavita,21.5
Kiran,18.3
Kiran,22.5
Kiran,20.5
Meera,18.5
Meera,21.5
Meera,17.5
Meera,19.5
Meera,21.5
Mohan,23.5
Mohan,20.0
Mohan,20.5
Mohan,21.5
Mohan,23.0
Neha,18.5
Neha,17.5
Neha,23.5
Neha,17.5
Neha,21.5
Neha,21.5
Neha,18.0
Neha,20.0
Priya,19.5
Priya,18.3
Priya,21.5
Priya,19.0
Rahul,23.5
Rahul,17.5
Rahul,23.0
Rahul,19.5
Rahul,23.0
Ravi,18.5
Ravi,17.8
Ravi,22.0
Ravi,20.5
Ravi,19.8
Ravi,19.8
Reeta,21.5
Reeta,18.3
Reeta,21.5
Reeta,23.5
Reeta,19.0
Reeta,17.5
Reeta,22.5
Reeta,19.8
Sneha,19.8
Sneha,23.5
Suresh,23.0
Suresh,20.5
Suresh,17.8
Suresh,19.0
Suresh,23.0
Suresh,22.5
Suresh,18.3
Vikram,17.5
Vikram,17.5
Vikram,21.0
Vikram,21.0
Vikram,20.5
Vikram,18.3
