Sneha,22.0
Amit,22.0
Geet,22.0
Ravi,18.5
Sneha,19.5
Arjun,20.5
Anita,21.5
Geet,23.5
Anita,20.0
Anita,17.5
Neha,21.5
Geet,20.0
Geet,23.0
Vikram,19.5
Meera,18.3
Vikram,18.3
Kavita,20.5
Suresh,18.5
Ravi,19.8
Anita,17.8
Amit,22.0
Geet,22.5
Reeta,19.5
Ravi,20.0
Sneha,18.0
Sneha,19.5
Kavita,19.5
Meera,18.0
Vikram,23.0
Ravi,19.5
Arjun,18.5
Geet,23.0
Kiran,23.0
Anita,18.5
Priya,22.0
Meera,18.5
Mohan,17.5
Arjun,21.0
Kiran,19.8
Meera,21.0
Neha,17.5
Vikram,17.8
Mohan,19.8
Rahul,18.0
Meera,17.5
Geet,22.0
Kiran,17.8
Rahul,22.5
Geet,21.5
Geet,22.0
Ravi,17.5
Kiran,20.0
Arjun,18.3
Priya,23.5
Arjun,17.8
Rahul,19.5
Anita,22.0
Priya,20.5
Priya,20.5
Mohan,20.0
Reeta,21.0
Sneha,17.5
Rahul,18.0
Vikram,19.8
Meera,22.5
Neha,19.0
Geet,21.0
Mohan,23.5
Meera,19.8
Anita,17.5
Geet,22.5
Mohan,23.5
Vikram,18.3
Kavita,19.8
Reeta,17.5
Arjun,18.0
Priya,20.0
Ravi,18.3
Vikram,19.8
Meera,19.8
Suresh,18.3
Sneha,22.5
Kiran,23.0
Kiran,18.5
Geet,19.5
Ravi,20.5
Anita,17.8
Reeta,23.0
Reeta,23.0
Arjun,18.3
