Neha,22.0
Suresh,23.5
Arjun,19.5
Sneha,22.5
Rahul,19.0
Meera,23.0
Reeta,21.5
Neha,21.5
Rahul,21.5
Arjun,20.0
Ravi,22.5
Arjun,17.8
Reeta,17.8
Arjun,23.5
Vikram,18.0
Kavita,23.0
Anita,19.5
Geet,20.0
Kavita,21.0
Neha,17.5
Suresh,23.0
Suresh,19.0
Rahul,19.8
Priya,22.5
Vikram,17.5
Kiran,23.0
Vikram,19.8
Geet,22.0
Rahul,18.0
Rahul,23.0
Meera,23.5
Kavita,18.5
Kiran,21.5
Kavita,21.0
Kavita,19.0
Arjun,23.5
Vikram,23.5
Suresh,18.3
Kiran,21.5
Sneha,21.0
Kiran,23.0
Rahul,21.5
Kavita,23.5
Mohan,20.0
Ravi,18.3
Vikram,17.8
Vikram,20.5
Vikram,20.5
Rahul,19.5
Anita,20.5
Suresh,17.8
Anita,22.0
Vikram,21.5
Sneha,18.5
Reeta,23.0
Geet,22.0
Kiran,20.0
Kavita,17.5
Kiran,17.8
Rahul,20.5
Neha,19.5
Reeta,18.5
Reeta,18.5
Kavita,19.8
Rahul,19.5
Geet,18.3
Rahul,19.8
Rahul,20.5
Ravi,18.5
Anita,19.8
