Kavita,23.5
Arjun,23.0
Anita,22.0
Neha,19.8
Kiran,21.0
Anita,23.0
Amit,19.8
Meera,23.5
Anita,21.0
Mohan,23.5
Neha,23.5
Neha,18.0
Priya,18.0
Reeta,20.5
Rahul,23.5
Ravi,23.0
Kavita,17.8
Mohan,20.0
Arjun,18.3
Sneha,20.0
Neha,18.5
Geet,17.5
Ravi,21.5
Amit,17.8
Ravi,23.5
Rahul,20.5
Ravi,22.5
Kiran,17.8
Arjun,19.0
Ravi,22.5
Amit,17.5
Mohan,22.5
Rahul,18.0
Kiran,21.0
Geet,19.0
Amit,21.0
Reeta,22.5
Geet,19.5
Vikram,23.0
Neha,19.8
Amit,23.5
Neha,22.0
Suresh,18.5
Mohan,18.3
Neha,21.5
Reeta,23.0
Reeta,22.0
Suresh,17.5
Sneha,20.5
Neha,20.5
Suresh,23.0
Kiran,17.8
Mohan,22.5
Priya,18.3
Priya,22.5
Mohan,22.5
Suresh,20.5
Meera,22.0
Mohan,20.0
Sneha,21.0
Sneha,19.0
Kiran,17.8
Suresh,21.5
Anita,18.0
Meera,22.0
Geet,21.0
Vikram,17.8
Mohan,19.0
Vikram,23.5
Anita,21.0
Mohan,19.8
Reeta,21.0
Neha,23.5
Ravi,18.0
Suresh,19.5
Reeta,19.5
Anita,19.8
Suresh,17.8
Amit,19.5
Rahul,21.5
Mohan,18.5
Neha,21.5
Kiran,21.5
Arjun,18.3
Kiran,19.8
Amit,19.0
Sneha,20.5
Mohan,21.0
Amit,23.5
Meera,20.0
Kiran,18.3
Kiran,18.0
Geet,20.0
Suresh,20.5
Geet,19.5
Kavita,22.5
Arjun,23.5
Meera,20.0
Kavita,19.0
Geet,19.8
